Результат расчета с распределением uniform
X:80.837 Y:52.213 Z:23.806  
X:0.000 Y:-27.525 Z:-60.273  
X:-87.053 Y:-117.715 Z:-149.179  
X:-177.800 Y:-204.438 Z:-248.215  
X:-266.854 Y:-294.611 Z:-337.338  
X:-366.753 Y:-354.340 Z:-369.497  
X:-340.511 Y:-325.379 Z:-257.727  
X:-879.024 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:0.000 Y:0.000 Z:0.000  
X:61.019 Y:39.161 Z:37.366  
X:36.684 Y:33.537 Z:35.283  
X:34.107 Y:33.026 Z:33.305  
X:31.467 Y:31.412 Z:32.492  
X:31.078 Y:30.874 Z:29.989  
X:29.710 Y:28.183 Z:28.813  
X:20.599 Y:24.849 Z:23.669  
X:25.243 Y:24.376 Z:24.902  
X:25.116 Y:25.442 Z:24.666  
X:22.629 Y:20.608 Z:17.001  
X:15.137 Y:21.384 Z:20.591  
X:21.274 Y:19.497 Z:19.715  
X:32.679 Y:136.830 Z:81.710  
X:72.966 Y:67.149 Z:69.615  
X:64.351 Y:68.366 Z:64.539  
X:62.355 Y:60.110 Z:66.856  
X:63.629 Y:63.261 Z:54.365  
X:52.262 Y:54.628 Z:51.689  
X:43.016 Y:53.209 Z:49.671  
X:49.861 Y:49.117 Z:50.900  
X:51.809 Y:50.324 Z:47.222  
X:50.045 Y:50.646 Z:39.652  
X:30.797 Y:30.367 Z:50.874  
X:47.068 Y:41.431 Z:32.403  
X:39.433 Y:38.137 Z:183.874  
X:100.516 Y:85.192 Z:82.515  
X:79.450 Y:79.926 Z:78.539  
